YEAR,LOCATION,SID,PLOT,REP,TREATMENT,DATE,CROP,ROW,COL,PLANTING_DATE,STAND_OAT,STAND_PEA,STAND_FLAX,OAT_BIOMASS_MATURITY,OAT_YIELD_HAND,PEA_BIOMASS_MATURITY,PEA_YIELD_HAND,FLAX_BIOMASS_MATURITY,WEED_BIOMASS_MATURITY,COMBO_BIOMASS_MATURITY,COMBO_YIELD_HAND,COMBO_HI,OAT_FLOWER_DATE,PEA_FLOWER_DATE,FLAX_FLOWER_DATE,OAT_MATURE_DATE,PEA_MATURE_DATE,FLAX_MATURE_DATE,PREDATION_EATEN,PREDATION_NOTEATEN,BUGVAC_RICHNESS,BUGVAC_ABUNDANCE
2023,ESDSWRF,OP.2023.B41,B41,B,early oat,early,oat,11,1,4/24/2023,2545931.759,0,0,3150.918635,1756.56168,0,0,0,34.12073491,3150.918635,1756.56168,0.557476052,6/12/2023,,,7/11/2023,,,28,41,16,51
2023,ESDSWRF,OP.2023.B51,B51,B,late pea,late,pea,12,1,6/1/2023,0,433070.8661,0,0,0,3258.530184,1593.832021,0,0.656167979,3258.530184,1593.832021,0.489126057,,7/15/2023,,,8/13/2023,,,,,
2023,ESDSWRF,OP.2023.B61,B61,B,late oat-pea,late,oat-pea,13,1,6/1/2023,1062992.126,288713.9108,0,3567.585302,1718.503937,1880.577428,889.1076115,0,2.624671916,5448.16273,2607.611549,0.478622185,7/15/2023,7/15/2023,,8/11/2023,8/8/2023,,,,,
2023,ESDSWRF,OP.2023.B71,B71,B,late oat,late,oat,14,1,6/1/2023,2060367.454,0,0,5887.795276,2837.270341,0,0,0,68.8976378,5887.795276,2837.270341,0.481890115,7/15/2023,,,8/9/2023,,,,,,
2023,ESDSWRF,OP.2023.C11,C11,C,early pea,early,pea,15,1,4/24/2023,0,616797.9003,0,0,0,2404.855643,763.7795276,0,0,2404.855643,763.7795276,0.317598909,,6/10/2023,,,7/16/2023,,51,3,11,20
2023,ESDSWRF,OP.2023.C21,C21,C,early oat-pea-flax,early,oat-pea-flax,16,1,4/24/2023,1469816.273,433070.8661,1167979.003,2133.2021,1308.39895,624.671916,298.5564304,338.5826772,35.43307087,3096.456693,1606.955381,0.518965883,6/12/2023,6/11/2023,6/11/2023,7/12/2023,7/9/2023,NA,61,10,14,62
2023,ESDSWRF,OP.2023.C31,C31,C,early oat,early,oat,17,1,4/24/2023,2690288.714,0,0,3646.981627,2152.887139,0,0,0,22.30971129,3646.981627,2152.887139,0.590320259,6/12/2023,,,7/11/2023,,,8,53,17,53
2023,ESDSWRF,OP.2023.C41,C41,C,early oat-pea,early,oat-pea,18,1,4/24/2023,1443569.554,223097.1129,0,3160.761155,1734.251969,614.8293963,276.9028871,0,96.45669291,3775.590551,2011.154856,0.532672923,6/12/2023,6/11/2023,,7/12/2023,7/9/2023,,68,2,19,109
2023,ESDSWRF,OP.2023.C51,C51,C,late oat-pea,late,oat-pea,19,1,6/1/2023,1233595.801,380577.4278,0,3332.677165,1532.808399,1144.356955,526.9028871,0,375.984252,4477.034121,2059.711286,0.460061557,7/15/2023,7/15/2023,,8/10/2023,8/8/2023,,,,,
2023,ESDSWRF,OP.2023.C61,C61,C,late oat,late,oat,20,1,6/1/2023,2322834.646,0,0,5515.748031,2642.388451,0,0,0,200.7874016,5515.748031,2642.388451,0.479062574,7/15/2023,,,8/8/2023,,,,,,
2023,ESDSWRF,OP.2023.C71,C71,C,late pea,late,pea,21,1,6/1/2023,0,446194.2257,0,0,0,5230.314961,2473.753281,0,2.624671916,5230.314961,2473.753281,0.472964496,,7/15/2023,,,8/13/2023,,,,,
2023,ESDSWRF,OP.2023.D11,D11,D,late oat,late,oat,22,1,6/1/2023,2559055.118,0,0,6324.80315,2978.346457,0,0,0,0,6324.80315,2978.346457,0.470899471,7/15/2023,,,8/9/2023,,,,,,
2023,ESDSWRF,OP.2023.D21,D21,D,late pea,late,pea,23,1,6/1/2023,0,459317.5853,0,0,0,4363.51706,2109.580052,0,1.968503937,4363.51706,2109.580052,0.483458647,,7/15/2023,,,8/13/2023,,,,,
2023,ESDSWRF,OP.2023.D31,D31,D,late oat-pea,late,oat-pea,24,1,6/1/2023,1181102.362,236220.4724,0,4129.265092,1780.839895,2213.910761,977.6902887,0,6.56167979,6343.175853,2758.530184,0.434881556,7/15/2023,7/15/2023,,8/11/2023,8/8/2023,,,,,
2023,ESDSWRF,OP.2023.D41,D41,D,early oat-pea-flax,early,oat-pea-flax,25,1,4/24/2023,1325459.318,328083.9895,1049868.766,2847.112861,1654.199475,845.8005249,419.9475066,225.0656168,28.87139108,3917.979003,2074.146982,0.529392062,6/12/2023,6/11/2023,6/11/2023,7/12/2023,7/9/2023,NA,13,53,21,133
2023,ESDSWRF,OP.2023.D51,D51,D,early oat-pea,early,oat-pea,26,1,4/24/2023,1417322.835,354330.7087,0,3158.792651,1782.808399,483.5958005,209.9737533,0,65.6167979,3642.388451,1992.782152,0.547108629,6/12/2023,6/11/2023,,7/12/2023,7/9/2023,,45,6,21,102
2023,ESDSWRF,OP.2023.D61,D61,D,early oat,early,oat,27,1,4/24/2023,2821522.31,0,0,4418.635171,2404.855643,0,0,0,21.65354331,4418.635171,2404.855643,0.544253044,6/12/2023,,,7/11/2023,,,19,53,14,97
2023,ESDSWRF,OP.2023.D71,D71,D,early pea,early,pea,28,1,4/24/2023,0,616797.9003,0,0,0,2621.391076,1179.133858,0,38.05774278,2621.391076,1179.133858,0.449812265,,6/10/2023,,,7/16/2023,,19,58,11,32
