"PLOT","REP","TREATMENT","DATE","CROP","YEAR","LOCATION","SID","ROW","COL","PLANTING_DATE","STAND_OAT","STAND_PEA","STAND_FLAX","OAT_BIOMASS_MATURITY","OAT_YIELD_HAND","PEA_BIOMASS_MATURITY","PEA_YIELD_HAND","FLAX_BIOMASS_MATURITY","WEED_BIOMASS_MATURITY","COMBO_BIOMASS_MATURITY","COMBO_YIELD_HAND","COMBO_HI","OAT_FLOWER_DATE","PEA_FLOWER_DATE","FLAX_FLOWER_DATE","OAT_MATURE_DATE","PEA_MATURE_DATE","FLAX_MATURE_DATE","PREDATION_EATEN","PREDATION_NOTEATEN","BUGVAC_RICHNESS","BUGVAC_ABUNDANCE","PEA_YIELD_PCT","OAT_YIELD_PCT","OAT_CP","PEA_CP","OAT_ADF","PEA_ADF","OAT_NDF","PEA_NDF","OAT_TDN","PEA_TDN","OAT_ME","PEA_ME","OAT_NEl","PEA_NEl","OAT_NEg","PEA_NEg","OAT_NEm","PEA_NEm","OAT_DE","PEA_DE","OAT_DDM","PEA_DDM","OAT_DMI","PEA_DMI","OAT_RFV","PEA_RFV","COMBO_CP","COMBO_ADF","COMBO_NDF","COMBO_TDN","COMBO_ME","COMBO_NEl","COMBO_NEg","COMBO_NEm","COMBO_DE","COMBO_DDM","COMBO_DMI","COMBO_RFV"
"B41","B","early oat","early","oat",2023,"ESDSWRF","OP.2023.B41",11,1,"4/24/2023",2545931.759,0,0,3150.918635,1756.56168,0,0,0,34.12073491,3150.918635,1756.56168,0.557476052,"6/12/2023","","","7/11/2023","",NA,28,41,16,51,0,1,160.1852915,NA,135.8935682,NA,395.5,NA,784.2,NA,3.46,NA,0.82,NA,0.76,NA,1.09,NA,7.62,NA,78.31389103722,NA,3.03413400758534,NA,184.197550435939,NA,160.1852915,135.8935682,395.5,784.2,3.46,0.82,0.76,1.09,7.62,78.31389103722,3.03413400758534,184.197550435939
"B51","B","late pea","late","pea",2023,"ESDSWRF","OP.2023.B51",12,1,"6/1/2023",0,433070.8661,0,0,0,3258.530184,1593.832021,0,0.656167979,3258.530184,1593.832021,0.489126057,"","7/15/2023","","","8/13/2023",NA,NA,NA,NA,NA,1,0,NA,272.8390476,NA,76.59275045,NA,128.1,NA,804.6,NA,2.9,NA,0.84,NA,0.59,NA,0.88,NA,3.55,NA,82.933424739945,NA,9.36768149882904,NA,602.243339977452,272.8390476,76.59275045,128.1,804.6,2.9,0.84,0.59,0.88,3.55,82.933424739945,9.36768149882904,602.243339977452
"B61","B","late oat-pea","late","oat-pea",2023,"ESDSWRF","OP.2023.B61",13,1,"6/1/2023",1062992.126,288713.9108,0,3567.585302,1718.503937,1880.577428,889.1076115,0,2.624671916,5448.16273,2607.611549,0.478622185,"7/15/2023","7/15/2023","","8/11/2023","8/8/2023",NA,NA,NA,NA,NA,0.340966280748743,0.65903371905951,142.1450131,272.5213235,201.1228828,75.40327344,465.4,206.2,737.7,806.5,3.25,2.91,0.77,0.84,0.7,0.59,1.01,0.89,7.17,3.56,73.23252742988,83.026084999024,2.57842715943275,5.819592628516,146.375765642718,374.556583127801,186.598938727576,158.256735140771,377.021539940687,761.158479974062,3.13407146392225,0.793867639504767,0.662493708983416,0.969084046116487,5.93911172512221,76.5718003154876,3.68355529422292,224.177730290748
"B71","B","late oat","late","oat",2023,"ESDSWRF","OP.2023.B71",14,1,"6/1/2023",2060367.454,0,0,5887.795276,2837.270341,0,0,0,68.8976378,5887.795276,2837.270341,0.481890115,"7/15/2023","","","8/9/2023","",NA,NA,NA,NA,NA,0,1,149.7025482,NA,148.4976468,NA,350.8,NA,775.2,NA,3.42,NA,0.81,NA,0.75,NA,1.08,NA,7.54,NA,77.33203331428,NA,3.42075256556442,NA,205.06492353499,NA,149.7025482,148.4976468,350.8,775.2,3.42,0.81,0.75,1.08,7.54,77.33203331428,3.42075256556442,205.06492353499
"C11","C","early pea","early","pea",2023,"ESDSWRF","OP.2023.C11",15,1,"4/24/2023",0,616797.9003,0,0,0,2404.855643,763.7795276,0,0,2404.855643,763.7795276,0.317598909,"","6/10/2023","","","7/16/2023",NA,51,3,11,20,1,0,NA,315.1249198,NA,69.35054951,NA,130.1,NA,815.7,NA,2.94,NA,0.85,NA,0.6,NA,0.9,NA,3.6,NA,83.497592193171,NA,9.22367409684858,NA,597.019052915796,315.1249198,69.35054951,130.1,815.7,2.94,0.85,0.6,0.9,3.6,83.497592193171,9.22367409684858,597.019052915796
"C21","C","early oat-pea-flax","early","oat-pea-flax",2023,"ESDSWRF","OP.2023.C21",16,1,"4/24/2023",1469816.273,433070.8661,1167979.003,2133.2021,1308.39895,624.671916,298.5564304,338.5826772,35.43307087,3096.456693,1606.955381,0.518965883,"6/12/2023","6/11/2023","6/11/2023","7/12/2023","7/9/2023",NA,61,10,14,62,0.185790118338077,0.814209881288546,150.7217075,269.5598391,141.7429665,64.17459865,436.1,282.4,780,823.7,3.44,2.97,0.81,0.86,0.76,0.61,1.08,0.91,7.58,3.63,77.85822290965,83.900798765165,2.7516624627379,4.24929178470255,166.077170074391,276.371298389766,172.800657976764,127.331530204933,407.544058648608,788.11902788014,3.35267864309669,0.819289505614469,0.732131481965522,1.04841567947928,6.8461290297344,78.9808737638425,3.02990719066488,186.56872916409
"C31","C","early oat","early","oat",2023,"ESDSWRF","OP.2023.C31",17,1,"4/24/2023",2690288.714,0,0,3646.981627,2152.887139,0,0,0,22.30971129,3646.981627,2152.887139,0.590320259,"6/12/2023","","","7/11/2023","",NA,8,53,17,53,0,1,145.6223772,NA,136.0433477,NA,423.7,NA,784.1,NA,3.46,NA,0.82,NA,0.76,NA,1.09,NA,7.62,NA,78.30222321417,NA,2.83219258909606,NA,171.912384726293,NA,145.6223772,136.0433477,423.7,784.1,3.46,0.82,0.76,1.09,7.62,78.30222321417,2.83219258909606,171.912384726293
"C41","C","early oat-pea","early","oat-pea",2023,"ESDSWRF","OP.2023.C41",18,1,"4/24/2023",1443569.554,223097.1129,0,3160.761155,1734.251969,614.8293963,276.9028871,0,96.45669291,3775.590551,2011.154856,0.532672923,"6/12/2023","6/11/2023","","7/12/2023","7/9/2023",NA,68,2,19,109,0.137683523610277,0.862316476439445,159.1610929,267.4995506,177.4926437,61.9014419,414.9,118.2,754.6,827.2,3.33,2.98,0.78,0.86,0.73,0.62,1.04,0.91,7.33,3.65,75.07332305577,84.07787767599,2.89226319595083,10.1522842639594,168.319231993745,661.69187168764,174.077513506553,161.577639746655,374.049298565461,764.595823851627,3.28181076690198,0.791014681927606,0.714854812439167,1.02210114198238,6.82332463347865,76.3131018681559,3.89184847822291,236.248515488074
"C51","C","late oat-pea","late","oat-pea",2023,"ESDSWRF","OP.2023.C51",19,1,"6/1/2023",1233595.801,380577.4278,0,3332.677165,1532.808399,1144.356955,526.9028871,0,375.984252,4477.034121,2059.711286,0.460061557,"7/15/2023","7/15/2023","","8/10/2023","8/8/2023",NA,NA,NA,NA,NA,0.255813953480469,0.744186046568082,149.1177961,257.6157303,99.4675036,73.1202193,271.1,238.8,810.1,810,3.57,2.92,0.85,0.85,0.8,0.6,1.13,0.89,7.87,3.57,81.15148146956,83.20393491653,4.42641091848027,5.0251256281407,278.457212114503,324.116454039695,176.873081599405,92.7275006445723,262.837209315743,810.074418643983,3.40372093041102,0.850000000041268,0.748837209342747,1.06860465121955,6.77000000041608,81.6765277041039,4.57957049558032,290.137483317827
"C61","C","late oat","late","oat",2023,"ESDSWRF","OP.2023.C61",20,1,"6/1/2023",2322834.646,0,0,5515.748031,2642.388451,0,0,0,200.7874016,5515.748031,2642.388451,0.479062574,"7/15/2023","","","8/8/2023","",NA,NA,NA,NA,NA,0,1,145.3160473,NA,214.0701071,NA,535.5,NA,728.5,NA,3.21,NA,0.76,NA,0.69,NA,1,NA,7.08,NA,72.22393865691,NA,2.24089635854342,NA,125.462295454211,NA,145.3160473,214.0701071,535.5,728.5,3.21,0.76,0.69,1,7.08,72.22393865691,2.24089635854342,125.462295454211
"C71","C","late pea","late","pea",2023,"ESDSWRF","OP.2023.C71",21,1,"6/1/2023",0,446194.2257,0,0,0,5230.314961,2473.753281,0,2.624671916,5230.314961,2473.753281,0.472964496,"","7/15/2023","","","8/13/2023",NA,NA,NA,NA,NA,1,0,NA,259.597221,NA,45.39980753,NA,151.8,NA,852.5,NA,3.08,NA,0.89,NA,0.65,NA,0.95,NA,3.76,NA,85.363354993413,NA,7.90513833992095,NA,523.107853009854,259.597221,45.39980753,151.8,852.5,3.08,0.89,0.65,0.95,3.76,85.363354993413,7.90513833992095,523.107853009854
"D11","D","late oat","late","oat",2023,"ESDSWRF","OP.2023.D11",22,1,"6/1/2023",2559055.118,0,0,6324.80315,2978.346457,0,0,0,0,6324.80315,2978.346457,0.470899471,"7/15/2023","","","8/9/2023","",NA,NA,NA,NA,NA,0,1,134.2374,NA,181.6119896,NA,439.3,NA,751.6,NA,3.31,NA,0.78,NA,0.72,NA,1.04,NA,7.31,NA,74.75242601016,NA,2.73161848395174,NA,158.290781867898,NA,134.2374,181.6119896,439.3,751.6,3.31,0.78,0.72,1.04,7.31,74.75242601016,2.73161848395174,158.290781867898
"D21","D","late pea","late","pea",2023,"ESDSWRF","OP.2023.D21",23,1,"6/1/2023",0,459317.5853,0,0,0,4363.51706,2109.580052,0,1.968503937,4363.51706,2109.580052,0.483458647,"","7/15/2023","","","8/13/2023",NA,NA,NA,NA,NA,1,0,NA,262.0321782,NA,59.31904659,NA,87.8,NA,831.1,NA,3,NA,0.87,NA,0.62,NA,0.92,NA,3.66,NA,84.279046270639,NA,13.6674259681093,NA,892.928391912264,262.0321782,59.31904659,87.8,831.1,3,0.87,0.62,0.92,3.66,84.279046270639,13.6674259681093,892.928391912264
"D31","D","late oat-pea","late","oat-pea",2023,"ESDSWRF","OP.2023.D31",24,1,"6/1/2023",1181102.362,236220.4724,0,4129.265092,1780.839895,2213.910761,977.6902887,0,6.56167979,6343.175853,2758.530184,0.434881556,"7/15/2023","7/15/2023","","8/11/2023","8/8/2023",NA,NA,NA,NA,NA,0.354424357714405,0.645575642176841,140.730188,267.2998714,213.2003741,77.03660598,460.6,145,729.1,803.9,3.21,2.9,0.76,0.84,0.69,0.59,1,0.88,7.09,3.54,72.29169085761,82.898848394158,2.60529743812419,8.27586206896552,146.001051929455,531.829019369097,185.589566729856,164.940618016909,348.743672655242,755.610941877745,3.10012844875943,0.7883539485345,0.654557564153519,0.957469076965518,5.8317935293428,76.0511258468146,4.61508366500482,282.747881461626
"D41","D","early oat-pea-flax","early","oat-pea-flax",2023,"ESDSWRF","OP.2023.D41",25,1,"4/24/2023",1325459.318,328083.9895,1049868.766,2847.112861,1654.199475,845.8005249,419.9475066,225.0656168,28.87139108,3917.979003,2074.146982,0.529392062,"6/12/2023","6/11/2023","6/11/2023","7/12/2023","7/9/2023",NA,13,53,21,133,0.202467573534767,0.797532426272383,139.223538,269.6048585,165.9044483,73.83467401,394.2,120.9,762.8,808.9,3.36,2.92,0.79,0.84,0.73,0.6,1.05,0.89,7.41,3.57,75.97604347743,83.148278894621,3.0441400304414,9.92555831265509,179.288151398605,639.762085864705,165.621527569044,147.263304471615,338.865612076926,772.133754992846,3.27091426699672,0.800123378524387,0.703679215299699,1.01760518803194,6.63252451619747,77.4281885645168,4.43740409193193,272.519191551388
"D51","D","early oat-pea","early","oat-pea",2023,"ESDSWRF","OP.2023.D51",26,1,"4/24/2023",1417322.835,354330.7087,0,3158.792651,1782.808399,483.5958005,209.9737533,0,65.6167979,3642.388451,1992.782152,0.547108629,"6/12/2023","6/11/2023","","7/12/2023","7/9/2023",NA,45,6,21,102,0.105367138645469,0.894632861505074,147.2962431,279.6024761,158.1200068,59.17635922,313.7,161,768.3,831.4,3.39,3,0.8,0.87,0.74,0.62,1.06,0.92,7.47,3.67,76.58245147028,84.290161616762,3.82531080650303,7.45341614906832,227.094324959501,487.015233955002,161.236972318345,147.694597791154,297.610437976062,774.948666564192,3.34890681643861,0.807375699825618,0.727355943473946,1.04524860074921,7.06960487427178,77.3945908454524,4.20759388572935,254.481447448674
"D61","D","early oat","early","oat",2023,"ESDSWRF","OP.2023.D61",27,1,"4/24/2023",2821522.31,0,0,4418.635171,2404.855643,0,0,0,21.65354331,4418.635171,2404.855643,0.544253044,"6/12/2023","","","7/11/2023","",NA,19,53,14,97,0,1,143.1553047,NA,179.9532252,NA,317.3,NA,752.8,NA,3.32,NA,0.78,NA,0.72,NA,1.04,NA,7.32,NA,74.88164375692,NA,3.78190986448156,NA,219.531493947977,NA,143.1553047,179.9532252,317.3,752.8,3.32,0.78,0.72,1.04,7.32,74.88164375692,3.78190986448156,219.531493947977
"D71","D","early pea","early","pea",2023,"ESDSWRF","OP.2023.D71",28,1,"4/24/2023",0,616797.9003,0,0,0,2621.391076,1179.133858,0,38.05774278,2621.391076,1179.133858,0.449812265,"","6/10/2023","","","7/16/2023",NA,19,58,11,32,1,0,NA,300.1979983,NA,64.07546659,NA,125.8,NA,823.8,NA,2.97,NA,0.86,NA,0.61,NA,0.91,NA,3.63,NA,83.908521152639,NA,9.5389507154213,NA,620.464533239465,300.1979983,64.07546659,125.8,823.8,2.97,0.86,0.61,0.91,3.63,83.908521152639,9.5389507154213,620.464533239465
